1.0.eddie_bravo	1.0 0.1
1.0.gravidez	2.0 0.226
1.0.maravillosa_profesin	2.0 0.468
1.1.autumn_travel	1.0 0.172
1.1.travel_voice	1.0 0.48
1.1.travis_blackley	1.0 0.025
2.0.burton_raven	3.0 1.341
2.0.cooler_engraved_koozie	1.0 0.754
2.0.elke_maravilha	9.0 2.664
2.0.enchilada_gravy	55.0 3.63
2.0.engravidar_sim	6.0 1.584
2.0.graveyard_racer_games	2.0 1.154
2.0.hawaii_travel_videos	1.0 0.228
2.0.italy_varenna_travel_destination	2.0 0.09
2.0.jengibre_loma_atravesada	2.0 0.128
2.0.mpk_caravan_rooflights	9.0 3.843
2.0.nfc_qr_ravi_borgaonkar	378.0 322.434
2.0.pro_travel_blogger_template_pro_travel	2.0 0.172
2.0.samouprava	1.0 0.118
2.0.store_travel_store_travel	5.0 0.355
2.0.the_ravens	5.0 0.139
2.0.tibet_travel	3.0 0.427
2.0.travel_logic	1.0 0.5
2.0.travel_riding_style_kashima_coat_buttery	14.0 0.774
2.0.travelers_notebuk	2.0 0.322
2.0.traveller	1141.0 190.269
2.0.travellers_hotel_jakarta_facilities_services_hotel_services	1.0 0.066
2.0.video_travel_experience	3.0 0.168
2.1.best_travel_sites	19.0 6.46
2.1.bever_outdoor&travel_assen	1.0 0.729
2.1.bravo_force	1.0 0.397
2.1.cool_travel_quotes	9.0 1.8
2.1.debbie_gravitte	1.0 0.029
2.1.grave_full_movie	6.0 0.234
2.1.gravity_shield	2.0 0.066
2.1.jenss_family_travels	10.0 3.81
2.1.lighted_travel_mirror	11.0 4.004
2.1.mrs_kravitz	8.0 0.496
2.1.myravingian_shadow_serpentis	2.0 0.332
2.1.prime_travel	1.0 0.317
2.1.product_rave	2.0 0.352
2.1.raven_guard	5.0 0.858
2.1.ravens_steelers_wager	1.0 0.368
2.1.router_engraver_drilling	2.0 0.308
2.1.russian_caravan	7.0 0.58
2.1.saravah_soul	2.0 0.1
2.1.travel_cool_fan	1.0 0.244
2.1.travel_organizer	165.0 76.486
2.1.trayvon_travesty	1.0 0.199
4.0.answers_expert_gravity	15.0 0.979
4.0.boating_travel_video	1.0 0.3
4.0.bonni_braverman	1.0 0.111
4.0.caravana	465.0 48.792
4.0.concerti_ravenna	3.0 1.164
4.0.destravado	1.0 0.228
4.0.enrico_rava	18.0 2.388
4.0.espelette_france_travel_information	4.0 1.228
4.0.et_dizon_travel_corporation_et_dizon_travel_corporation	1.0 0.146
4.0.florida_hospital_travel_pharmacists	1.0 0.06
4.0.german_road_less_traveled	2.0 0.378
4.0.germanys_bravo	1.0 0.028
4.0.graviere	16.0 2.08
4.0.gravina_in_puglia	44.0 10.755
4.0.inner_depravity_video	16.0 1.152
4.0.intravenously_inject	5.0 4.28
4.0.isac_fioravante_brazilian_model	1.0 0.436
4.0.la_travel_tips	21.0 6.069
4.0.luxury_travel_reward_card	1.0 0.051
4.0.mazatlan_travel	1.0 0.143
4.0.polegadas_900w_rms_bravox_endurance_e2k_e2k15d	3.0 1.83
4.0.rbc_travel_rewards	2.0 0.042
4.0.static_rental_private_caravans	44.0 19.305
4.0.travel_market	5.0 0.277
4.0.travel_ventures_international_tvi_review	5.0 2.3
4.0.travel_websites	19.0 3.18
4.0.travis_parker	7.0 2.079
4.0.ultraview_vox	10.0 3.02
4.0.wil_traval	1.0 0.023
4.1.beautiful_rouge_ravine	2.0 0.08
4.1.big_unraveling	1.0 0.214
4.1.celebrity_travel_tales	1.0 0.229
4.1.gravitas_biz_park	2.0 0.78
4.1.gravity_actress	6.0 1.35
4.1.hydravision_basic_edition	423.0 22.1
4.1.mae_graves	1.0 0.038
4.1.pro_compraventa	7.0 1.043
4.1.ravensdale_park	4.0 0.13
4.1.travel_facebook_covers	21.0 14.419
4.1.travel_games	252.0 59.034
4.1.travel_letters	35.0 10.01
4.1.veraval_marcantile	1.0 0.371
9.boltonnews.reader.travel	4.0 4.0
9.cartravelinsurancereviews.com	2.0 2.0
9.econnecttravelandtours.com	8.0 8.0
9.karavadra.net	500.0 514.0
9.ravisubramanian.in	63.0 63.0
9.suprtravel.dreamtripslife.com	1.0 1.0
9.transitiontravel.com	3.0 3.0
9.travesseirox.com.br	50.0 95.0
9.vanitravelmaldives.com	2.0 2.0
9.vatakaravarthakal.com	27.0 46.0
9.vjdunraven.com	7.0 8.0
9.yurikotravelnepal.com	3.0 3.0
adx.1.1.frequent_traveler	2.0 0.127
adx.2.0.aaa_etravel_specials_newsletter	1.0 0.434
adx.2.0.brava_bulky	1.0 0.035
adx.2.0.cravatta	1.0 0.055
adx.2.0.ellington_amelia_travel_clutch_bag	5.0 0.35
adx.2.0.graveyard_cupcakes_recipe	1.0 0.061
adx.2.0.intravenous_pantoprazole	3.0 0.186
adx.2.0.lagravenese_goldwyn_project	4.0 0.984
adx.2.0.lapsi_rava	1.0 0.099
adx.2.0.lecrae_gravity_album_review	1.0 0.386
adx.2.0.museum_episodes_travel	22.0 0.902
adx.2.0.thomas_ravenel	5.0 0.753
adx.2.0.traveling_nurse_job	25.0 18.2
adx.2.1.daily_travels	1.0 0.12
adx.2.1.international_caravan_buffets	1.0 0.084
adx.2.1.microgravity_university	18.0 1.206
adx.2.1.photogelatine_engraving	1.0 0.053
adx.2.1.travel_ninja	8.0 3.0
adx.2.1.travis_smith	1.0 0.272
adx.4.0.auray_france_travel_information	1.0 0.282
adx.4.0.bravo_change_filming_schedule	1.0 0.073
adx.4.0.cheap_travel	46.0 7.298
adx.4.0.cradle_2_the_grave	1.0 0.629
adx.4.0.critics_rave	2.0 0.196
adx.4.0.ravioli_pasta_dough	6.0 2.94
adx.4.0.travel_mug	21.0 9.773
adx.4.1.aggravating	6.0 0.162
adx.4.1.best_holiday_trav	1.0 0.458
adx.4.1.mamadehi_karavalambamsri_kartikeya	1.0 0.024
adx.4.1.solo_travel_forums	1.0 0.352
adx.4.1.sound_equalizer_rave	3.0 0.921
adx.9.bravopua.com	21.0 44.0
adx.9.cancuntravelcard.com	9.0 10.0
adx.9.tastefortravel.com.au	8.0 13.0
1.0.family_travel_tours	1.0 0.045
1.0.mantrav	1.0 0.363
1.0.pastrav	1.0 0.474
1.0.promoo_caravana_siga	1.0 0.128
1.1.drava_srbija	1.0 0.063
1.1.superfast_art_travel	2.0 0.844
2.0.aravind_srinivasan	1.0 0.14
2.0.atraccin_luis_manuel_caravallo	4.0 1.592
2.0.cyber_crave_tv	2.0 0.216
2.0.ece_karavus_sinematurk.com	4.0 3.656
2.0.el_raval	25.0 3.165
2.0.graveside	7058.0 627.246
2.0.gravity_boots	13.0 1.771
2.0.holiday_trav	10.0 2.376
2.0.indeks_list_brave	1.0 0.691
2.0.jesse_chisholm_grave_site	1.0 0.339
2.0.miravento_luxury_towers	1.0 0.284
2.0.mobil_travel	1.0 0.531
2.0.oosaravelli_telugu	2.0 1.514
2.0.plus_travailler_chez_soi	1.0 0.144
2.0.rnit_grav	3.0 1.317
2.0.sound_travel	17.0 3.22
2.0.susan_graver_home	1.0 0.112
2.0.tasha_graves	5.0 0.145
2.0.travel_aboard_maharajas_express	4.0 0.96
2.0.travel_delay	3.0 0.186
2.0.traveling_peace_academy	1.0 0.078
2.0.travelport_sweden	4.0 1.6
2.0.ver_online:travesia	3.0 0.399
2.0.watch_brave_online	1.0 0.527
2.0.xi_travesa	9.0 2.349
2.1.agoravox	1.0 0.176
2.1.best_travel_trays	6.0 3.018
2.1.caravan_club	63.0 10.051
