1.1.toyota_sienna	1.0 0.708
2.0.nippon_toyota	5.0 0.295
2.1.crawl_toyota	1.0 0.03
2.1.toyota_dealer	61.0 17.539
2.1.toyota_service_coupons	10.0 2.37
4.0.harga_toyota_grand_new_kijang_innova	10.0 5.69
4.0.toyota_eco_dealership_outlet_toyota_eco_dealership_outlet_toyota_eco_dealership_outlet_toyota_eco_dealership_outlet_toyota_eco_dealership_outlet_toyota_eco_dealership_outlet_toyota_eco_dealership_outlet_toyota_eco_dealership_outlet_friday	1.0 0.487
4.0.toyotas	73.0 3.26
4.1.toyota_nears_launch	29.0 6.409
4.1.way_lsd_toyota	2.0 0.13
adx.1.1.toyota_motor	1.0 0.074
adx.2.0.toyota_prius	284.0 89.981
adx.4.0.toyota_gt	9.0 2.744
2.0.toyota_dealer_special_offers	6.0 1.23
2.0.toyota_group	31.0 2.678
2.0.toyota_gt86	529.0 193.296
9.dev.toyota.ie	2.0 3.0
2.0.toyota_releases	26.0 4.189
2.0.toyota_subaru_gt	2.0 0.13
2.0.toyota_vit_nam	1.0 0.341
2.1.produzione_toyota	4.0 0.166
2.1.takls_toyota_gt	2.0 0.82
4.1.toyota_tsusho_corporation	4.0 0.127
4.1.used_toyota_cars	276.0 104.448
adx.2.1.toyota_carina	1.0 0.058
adx.9.scottclarkstoyotanews.com	3.0 3.0
1.1.toyota_matrix	2.0 0.165
4.1.video_toyota_ft	1.0 0.095
adx.2.0.toyota_aurion	1.0 0.724
adx.4.1.toyota_fielder	1.0 0.031
adx.4.1.toyota_land	1.0 0.05
2.1.toyota_video	1.0 0.309
4.1.toyota_liteace	2.0 0.895
adx.2.0.schaumburg_toyota	1.0 0.081
adx.2.1.toyota_tacomas	1.0 0.277
adx.4.1.toyota_auris	1.0 0.072
2.0.share_toyota	3.0 1.001
2.0.toyota_expands_engine_line	1.0 0.594
2.0.toyota_offers	2.0 0.61
2.0.toyota_partners	3.0 0.677
2.1.toyota_porsche	1.0 0.241
2.1.toyota_raih	67.0 14.96
4.0.toyota_crown_majesta	1.0 0.041
4.1.concord_toyota	1.0 0.09
4.1.toyota_rush	118.0 42.613
adx.4.1.toyota_ceo	1.0 0.197
adx.4.1.toyota_sera	3.0 0.192
2.0.ageing_toyota_land_cruisers	1.0 0.364
2.0.cvt_toyota_toyota	7.0 0.651
2.0.toyota_dream_car	2.0 0.094
2.0.toyota_emina	3.0 1.413
2.0.toyota_factory_truck_maintenance_manuals	8.0 2.168
2.0.toyota_industries	4.0 0.352
2.1.toyota_center_kennewick	13.0 0.26
2.1.toyota_townace	3.0 1.325
4.0.201110pt_fks_capitaltoyota_tsushotoyota_tsushopt_toyota_tsushopt_bunga_sari	1.0 0.838
4.0.toyota_auris_hsd	45.0 6.36
adx.2.1.toyota_4runner	16.0 5.107
1.0.toyota_probox	1.0 0.176
1.0.toyota_texas_bass_classic_volunteers	1.0 0.824
1.1.toyota_axio	6.0 1.751
1.1.toyota_way_articles	1.0 0.673
2.0.toyota_aqua_siap_hadir	1.0 0.398
2.1.toyota_motor_corporation	747.0 22.101
4.0.toyotama	3.0 0.195
4.1.toyota_focusing	1.0 0.136
9.toyotapavilion.rockandbus.com	3.0 4.0
adx.1.1.toyota_bets	1.0 0.193
adx.2.0.toyota_scion	4.0 0.64
2.0.blitz_compressor_system_supercharger_kit_toyota_sxe10_ncp91	4.0 3.536
2.0.fse_toyota_mark	2.0 0.08
2.0.toyota_algrie	7.0 2.16
2.1.ittoyota_gazoo	1.0 0.088
2.1.mississauga_toyota	76.0 20.406
2.1.toyota_csr_click	2.0 0.11
4.0.ken_styletoyota_yaris	1.0 0.088
4.1.toyota_motor_manufacturing_kentucky	43.0 1.981
2.0.toyota_allion	6.0 3.159
2.1.powered_toyota_gt	163.0 105.502
2.1.toyota_todos_repuestos	11.0 1.2
4.0.grand_new_toyota	1.0 0.075
4.0.toyota_astra_motor_job_vacancy	18.0 8.184
4.1.toyota_duet	4.0 1.517
4.1.toyota_india_dealerships	2.0 0.326
adx.2.0.toyota_financial_services	1.0 0.137
adx.4.1.toyota_care	3.0 0.426
adx.9.mississaugatoyota.com	11.0 13.0
2.0.toyota_corolla_verso	64.0 28.541
2.1.adriel_toyota_barranquitas	61.0 4.087
2.1.front_toyota	1.0 0.066
